datetime,demand_mw,nuclear_mw,wind_mw,solar_new_mw,solar_existing_mw,solar_total_mw,gas_mw,bath_net_mw,na_net_mw,ironair_net_mw,bath_soc_mwh,na_soc_mwh,ironair_soc_mwh,total_storage_soc_pct,curtailment_mwh,unserved_mwh
2046-02-18 04:00:00,20397.64740319312,3695.3,2115.32,0.0,0.0,0.0,0.0,-0.0,0.0,14587.027403193119,2999.9999999999927,104332.77141548181,27270.15330011055,2,-0.0,0.0
2046-02-18 05:00:00,20550.896342832686,3695.3,2069.55,0.0,0.0,0.0,0.0,0.0,0.0,14786.046342832691,2999.9999999999927,99088.8192062153,12484.106957277858,2,-0.0,0.0
2046-02-18 06:00:00,20750.21695736389,3695.3,1570.81,0.0,0.0,0.0,0.0,3000.0,0.0,12484.106957363889,-7.275957614183426e-12,93844.86699694878,-8.603092283010483e-08,1,-0.0,0.0
2046-02-18 07:00:00,20877.277787065046,3695.3,1386.35,16531.763446186207,717.9420110276266,17249.705457213833,0.0,-1454.077670148792,0.0,0.0,854.0776701487848,88600.91478768227,-8.603092283010483e-08,1,-0.0,0.0
2046-02-18 08:00:00,20703.17535247453,3695.3,856.8720000000001,50379.37021001839,2187.8770816328138,52567.2472916512,0.0,-3000.0,0.0,-33416.24393917667,3254.077670148785,83356.96257841575,20711.672317553894,2,-0.0,0.0
2046-02-18 09:00:00,20493.67047296728,3695.3,451.67600000000004,65703.54341873761,2853.3758208699537,68556.91923960757,0.0,-3000.0,-22806.572869719494,-26403.65189692079,5654.077670148785,100919.58323886874,34410.75259293795,2,-0.0,0.0
2046-02-18 10:00:00,20311.323633396154,3695.3,553.909,68936.36713294376,2993.7710041321725,71930.13813707593,0.0,-3000.0,0.0,-52868.02350367978,8054.077670148785,95675.63102960223,76705.17139588177,3,-0.0,0.0
2046-02-18 11:00:00,20204.631333647092,3695.3,911.6400000000001,69608.68669852146,3022.9685221425952,72631.65522066405,0.0,-3000.0,0.0,-54033.96388701696,10454.077670148785,90431.67882033571,119932.34250549534,3,-0.0,0.0
2046-02-18 12:00:00,20178.92818870754,3695.3,985.36,69526.96639391621,3019.4195698471513,72546.38596376336,0.0,-3000.0,0.0,-54048.11777505583,12854.077670148785,85187.7266110692,163170.83672554,4,-0.0,0.0
2046-02-18 13:00:00,20135.766303809054,3695.3,1117.0700000000002,75584.9459238076,3282.505720372598,78867.4516441802,0.0,-3000.0,-52439.52209266505,-8104.533247706087,15254.077670148785,132383.29649446774,158570.79835170935,5,-0.0,0.0
2046-02-18 14:00:00,20157.10476375887,3695.3,1459.8400000000001,60706.86661185034,2636.3799627529947,63343.246574603334,0.0,-3000.0,0.0,-45341.28181084446,17654.077670148785,127139.34428520122,191207.50854101707,5,-0.0,0.0
2046-02-18 15:00:00,20166.80406373606,3695.3,1840.34,40082.2749670107,1740.6944631195174,41822.969430130215,0.0,-3000.0,-24191.80536639416,0.0,20054.077670148785,146087.19744232888,178502.93691948033,5,-0.0,0.0
2046-02-18 16:00:00,20132.371548817042,3695.3,1956.89,24177.367779103195,1049.9755879756603,25227.343367078854,0.0,-3000.0,0.0,-7747.161818261811,22454.077670148785,140843.24523306236,184700.66637408978,5,-0.0,0.0
2046-02-18 17:00:00,20205.116298645946,3695.3,2115.32,600.4034146982393,26.074340851746832,626.4777555499861,0.0,-750.0,0.0,14518.018543095961,23054.077670148785,135599.29302379585,170182.6478309938,5,-0.0,0.0
2046-02-18 18:00:00,20374.36908324787,3695.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14563.749083247872,23054.077670148785,130355.34081452934,155618.89874774593,5,-0.0,0.0
2046-02-18 19:00:00,20412.68131815776,3695.3,2115.32,0.0,0.0,0.0,0.0,-1545.922329851208,0.0,16147.983648008969,23999.999999999993,125111.38860526282,134869.67575392663,4,-0.0,0.0
2046-02-18 20:00:00,20419.47082814179,3695.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14608.850828141789,23999.999999999993,119867.43639599631,120260.82492578484,4,-0.0,0.0
2046-02-18 21:00:00,20358.85020328437,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11548.230203284373,20999.999999999993,114623.4841867298,108712.59472250046,4,-0.0,0.0
2046-02-18 22:00:00,20308.413843402996,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11497.793843402993,17999.999999999993,109379.53197746328,97214.80087909747,3,-0.0,0.0
2046-02-18 23:00:00,20235.66909357409,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11425.049093574096,14999.999999999993,104135.57976819677,85789.75178552337,3,-0.0,0.0
2046-02-19 00:00:00,20193.477138673326,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11382.857138673324,11999.999999999993,98891.62755893025,74406.89464685005,3,-0.0,0.0
